UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
운송장번호등록여부 Y/N Waybill Number R,wblNoRegYn,업체 주문/배송,1,단일,✅ 핵심 UDS,wblNoRegYn: 운송장번호등록여부 Y/N Waybill Number Registered Yes Or No Y/N
운송장변경이력 Waybill Change History,wblChngYn,업체 주문/배송,1,단일,✅ 핵심 UDS,wblChngYn: 운송장변경이력 Waybill Change History
원주문번호,orordNo,업체 주문/배송,1,단일,✅ 핵심 UDS,orordNo: 원주문번호 Original Order Number | orordNo: 샘플코드에서 확인된 필드 | orordNo: 원주문번호 Original Order Number
원주문번호 (2022.1.5 삭제. 'orordNo'를,orOrdNo,업체 주문/배송,1,단일,✅ 핵심 UDS,orOrdNo: 원주문번호 (2022.1.5 삭제. 'orordNo'를 사용해주세요) Original Order Number (2022.1.5 deleted. Please use 'orordNo')
원주문상품 순번,orordItemSeq,업체 주문/배송,1,단일,✅ 핵심 UDS,orordItemSeq: 원주문상품순번 Original Order Item Sequence | orordItemSeq: 샘플코드에서 확인된 필드 | orordItemSeq: 원주문상품순번 Original Order Item Sequence
응답 형식,Accept,업체 주문/배송,1,단일,✅ 핵심 UDS,Accept: application/xml application/json application/xml application/json | Accept: application/xml application/json application/xml application/json | Accept: application/xml application/json application/xml application/json
이벤트순번 Event Sequence,evntSeq,업체 주문/배송,1,단일,✅ 핵심 UDS,evntSeq: 이벤트순번 Event Sequence
이전시스템주문순번 Previous System Orde,bfOrderSeq,업체 주문/배송,1,단일,✅ 핵심 UDS,bfOrderSeq: 이전시스템주문순번 Previous System Order Sequence | bfOrderSeq: 이전시스템주문순번 Previous System Order Sequence | bfOrderSeq: 이전시스템주문순번 Previous System Order Sequence
이전주문번호 Previous System Order N,bfOrderId,업체 주문/배송,1,단일,✅ 핵심 UDS,bfOrderId: 이전주문번호 Previous System Order Number | bfOrderId: 이전주문번호 Previous System Order Number | bfOrderId: 이전주문번호 Previous System Order Number
인터파크도서 : 도서쿠폰번호 Interpark Book,bookCpnNo,업체 주문/배송,1,단일,✅ 핵심 UDS,bookCpnNo: 인터파크도서 : 도서쿠폰번호 Interpark Books : Book Coupon Number
인터파크도서 : 도서쿠폰할인금액 Interpark Books : Book,bookCpnDcAmt,업체 주문/배송,1,단일,✅ 핵심 UDS,bookCpnDcAmt: 인터파크도서 : 도서쿠폰할인금액 Interpark Books : Book Coupon Discount Fee
