UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
Registeration Progress Status ,regProgStatCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,regProgStatCd: Registeration Progress Status Code (commCd:I102) 20 In Progress 30 Stopped | regProgStatCd: Registeration Progress Status Code (commCd:I102) 20 In Progress 30 Stopped Only 20(In progress) On Registration Cannot be Changed from 30(Stopped) to 20(In Progress) On Modification
Representative Person Name,reppeNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,reppeNm: Representative Person Name | reppeNm: Representative Person Name
Result Count,resultCount,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,resultCount: Result Count | resultCount: Result Count
SSG Low Rank Vendor Identifica,AuthVenId,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,AuthVenId: SSG Low Rank Vendor Identification Required only modification | AuthVenId: SSG Low Rank Vendor Identification | AuthVenId: SSG Low Rank Vendor Identification
Shipping Cost Apply Unit Code ,shppcstAplUnitCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"shppcstAplUnitCd: Shipping Cost Apply Unit Code (commCd:I113) 10 Total Price of Order 30 By Item Quantity 40 Total Price of Order by Item | shppcstAplUnitCd: Shipping Cost Apply Unit Code (commCd:I113) Policy on Release/Additional Shipping Cost (shppcstPlcyDivCd = 10) : 10 Total Price of Order 30 By Item Quantity 40 Total Price of Order by Item Policy on Return Shipping Cost (shppcstPlcyDivCd = 20) : 10 Total Price of Order 30 By Item Quantity Policy on Addtional Shipping Cost (shppcstPlcyDivCd = 60, 70) : Shipping Cost Apply Unit Code cannot be registered (Please leave it blank) | shppcstAplUnitCd: Shipping Cost Apply Unit Code (commCd:I113) 10 Total Price of Order 30 By Item Quantity 40 Total Price of Order by Item"
Shipping Cost Apply Yes Or No ,shppcstAplYn,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstAplYn: Shipping Cost Apply Yes Or No (Y/N) | shppcstAplYn: Shipping Cost Apply Yes Or No (Y/N) | shppcstAplYn: Shipping Cost Apply Yes Or No (Y/N)
Shipping Cost Contents (less than 250 ch,shppcstCntt,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,shppcstCntt: Shipping Cost Contents (less than 250 characters) | shppcstCntt: Shipping Cost Contents (less than 250 characters)
Shipping Cost Policy Division ,shppcstPlcyDivCd,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,"shppcstPlcyDivCd: Shipping Cost Policy Division Code (commCd:I165) 10 Policy on Release Shipping Cost 20 Policy on Return Shipping Cost For Policy on Additional shipping Cost(60, 70), Shipping Cost Apply Unit Code and Prepaid Cash on Delievery Division Code cannot be retrieved. | shppcstPlcyDivCd: Shipping Cost Policy Division Code (commCd:I165) 10 Policy on Release Shipping Cost 20 Policy on Return Shipping Cost 60 Policy on Additional Shipping Cost(remote/rural areas) 70 Policy on Additional Shipping Cost(Jeju Island) | shppcstPlcyDivCd: Shipping Cost Policy Division Code (commCd:I165) 10 Policy on Release Shipping Cost 20 Policy on Return Shipping Cost 60 Policy on Additional Shipping Cost(remote/rural areas) 70 Policy on Additional Shipping Cost(Jeju Island)"
State/Province/Region,stNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,stNm: State/Province/Region
State/Province/Region State/Province/Reg,stNm,업체 기준 정보 조회,1,단일,✅ 핵심 UDS,stNm: State/Province/Region State/Province/Region | stNm: State/Province/Region State/Province/Region | stNm: State/Province/Region State/Province/Region
