UDS 속성명,SSG 필드명,API 카테고리,사용 API 문서 수,공통/반복,UDS 필요도,설명
이전배송번호 Previous Shipping Numbe,bfShppNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,bfShppNo: 이전배송번호 Previous Shipping Number
이전배송순번 Previous Shipping Seque,bfShppSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,bfShppSeq: 이전배송순번 Previous Shipping Sequence
이전시스템주문순번 Previous System Orde,bfOrderSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,bfOrderSeq: 이전시스템주문순번 Previous System Order Sequence
이전주문번호 Previous System Order N,bfOrderId,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,bfOrderId: 이전주문번호 Previous System Order Number
재판매가능 구분 Y 가능 N 불가능 Resell Pos,resellPsblYn,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,resellPsblYn: 재판매가능 구분 Y 가능 N 불가능 Resell Possibility Division Y Possible N Not Possible | resellPsblYn: 재판매가능 구분 Y 가능 N 불가능 Resell Possibility Division Y Possible N Not Possible | resellPsblYn: 재판매가능 구분 Y 가능 N 불가능 Resell Possibility Division Y Possible N Not Possible
접수매체명 Receipt Media Name,ordRcpMediaNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordRcpMediaNm: 접수매체명 Receipt Media Name
접수매체코드 10 PC웹 20 모바일웹 30 모바일앱(,ordRcpMediaCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordRcpMediaCd: 접수매체코드 10 PC웹 20 모바일웹 30 모바일앱(iOS) 40 모바일앱(안드로이드) 50 패드앱(iOS) 60 패드앱(안드로이드) 70 스마트기기 80 제휴채널 90 점포 99 콜센터 Receipt Media Code 10 PC Web 20 Mobile Web 30 Mobile App(iOS) 40 Mobile App(Android) 50 Pad App(iOS) 60 Pad App(Android) 70 Smart Device 80 Alln Channel 90 Store 99 Call Center
조회 시작일,perdStrDts,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"perdStrDts: 기간조회타입, 기간조회일 경우 필수 값 기간시작일 yyyymmdd (기간은 7일 이내) If Period search, then mandatory value. Period start date. yyyymmdd (Period is within 7 days) | perdStrDts: 샘플코드에서 확인된 필드 | perdStrDts: 기간시작일, 일반조회일 경우 필수 값. 기간은 7일 이내 If general search, then mandatory value. Period is within 7 days"
조회 종료일,perdEndDts,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"perdEndDts: 기간조회타입, 기간조회일 경우 필수 값 기간종료일 yyyymmdd (기간은 7일 이내) If Period search, then mandatory value. Period end date. yyyymmdd (Period is within 7 days) | perdEndDts: 샘플코드에서 확인된 필드 | perdEndDts: 기간종료일, 일반조회일 경우 필수 값. 기간은 7일 이내 If general search, then mandatory value. Period is within 7 days"
조회기간 유형,perdType,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,"perdType: 기간타입, 일반조회일 경우 필수 값 01 회수지시일 02 회수완료일 03 주문완료일(=배송지시일) 04 회수확인일 05 회수철회일 If general search, then mandatory value. 01 Recollect Instructed Date 02 Recollect Completed Date 03 Order Completed Date (= Shipping Instructed Date) 04 Recollect Confirmed Date 05 Recollect Revoked Date | perdType: 샘플코드에서 확인된 필드 | perdType: 샘플코드에서 확인된 필드"
주문번호,ordNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordNo: 주문번호 Order Number | ordNo: 주문번호 Order Number | ordNo: 샘플코드에서 확인된 필드
주문상품 순번,ordItemSeq,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordItemSeq: 주문상품순번 Order Item Sequence | ordItemSeq: 주문상품순번 Order Item Sequence | ordItemSeq: 샘플코드에서 확인된 필드
주문상품상태명 Order Item Status Name,ordItemStatNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordItemStatNm: 주문상품상태명 Order Item Status Name
주문상품상태코드 180 주문취소 Order Item S,ordItemStatCd,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordItemStatCd: 주문상품상태코드 180 주문취소 Order Item Status Code 180 Order Cancel
주문자명,ordpeNm,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordpeNm: 주문자명 Customer Name | ordpeNm: 샘플코드에서 확인된 필드 | ordpeNm: 주문자 Customer
주문접수일시,ordRcpDts,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordRcpDts: 주문접수일시 Order Registered Date | ordRcpDts: 샘플코드에서 확인된 필드
주문취소일시 Cancel Order Date,ordCnclDts,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordCnclDts: 주문취소일시 Cancel Order Date
주문확인서번호 배송주체코드가 브랜드직배일경우에만 필수 ,ordCnfdocNo,업체 취소/반품/교환,1,단일,✅ 핵심 UDS,ordCnfdocNo: 주문확인서번호 배송주체코드가 브랜드직배일경우에만 필수 Order Confirmation Number Mandatory only when Shipping Main Code is Brand Direct Shipping. | ordCnfdocNo: 주문확인서번호 배송주체코드가 브랜드직배일경우에만 필수 Order Confirmation Number Mandatory only when Shipping Main Code is Brand Direct Shipping.
